874/5/240|Zig|||C,CNB
874/5/251|whoever314|https://youtu.be/fYuy_RK9HSY|video|
876/5/190|Sahishar|https://www.youtube.com/watch?v=W24mFmOQa0Y||
880/3/109|jjs132|https://www.youtube.com/watch?v=sn6QzL01M5E&list=UUhAojuwxjy3kImpMCfGEqRw||
882/3/104|jjs132|||
1015/2/75|whoever314|https://youtu.be/g7IxvRT_XHQ||RC,RCNB
1017/2/68/B|kuroi_neko|||
1017/2/73|jjs132|||
1020/2/58|jjs132|https://www.youtube.com/watch?v=k3kaKAEGmuY||
1124/2/46|Sahishar|||
1226/2/45|Sahishar|||
1420/2/39|Sahishar|https://youtu.be/mGjidk1RE1g||S,SNB,RS,RSNB
